"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan Baggage Claim  kami?","Silakan berikan saran dan masukan Anda terkait Baggage Claim kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Baggage Claim kami","Fasilitas Baggage Claim (Convetor Belt, Troli, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Baggage Claim kami","Alur & Pengelolaan Baggage Claim-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Baggage Claim kami","Respondent Id"
"1","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5",,"5","5","5","ad45243b-eb32-4a82-a4e5-46b1c071fd47"
"2","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","4","Dibandingkan dengan negara lain atau bahkan kota lain, baggage claim CGK masih terpaut lebih lama walaupun sudah ada perbaikan.","4","3","3","1d07d3f9-4734-47fb-8dc8-8daac1c18373"
"3","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","It is good","5","5","5","8acf8650-e37d-444a-959b-4d950dd0464d"
"4","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","لا","2","2","2","9f1f8818-f8da-4297-a385-1156525e49c1"
"5","API dan IAS","YIA","4","BAGGAGE CLAIM AREA INTERNASIONAL","YIA-BCA-INT","5","Mohon dapat dipertahankan kualitas saat ini yg sdh baik","5","5","5","23414437-10c2-491d-86a3-5a6d7ed6feb4"
"6","API dan IAS","DPS","2","BAGGAGE CLAIM INTERNASIONAL/ BELT 2","DPS-BC.INT-2","5",,"5","5","5","3b103865-d31b-423c-bc8b-91d161767bef"
"7","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Bagus","5","5","5","39be473e-a844-4fb9-adc6-a034180cc45f"
"8","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","5","Ga ada","5","5","5","26edf956-b795-45d5-8436-1d11c10a841c"
"9","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2E","API-BAGGAGE CLAIM-CGK T2-HCO E","4",,"5","4","4","258846af-6728-42b4-8063-6c76556a3567"
"10","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","Good","4","4","4","c52aa80c-4ccf-460e-beec-984dd8a89680"
"11","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","K","3","3","3","3ad531ff-a082-4966-b36c-cafe1a8efe7f"
"12","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4",,"4","4","4","177caf05-22c1-426f-bc98-171e9e091e03"
"13","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","3","Hshsbbs","4","4","4","ef3213a4-79a4-427e-bfc1-7d7cccaa5123"
"14","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","4",,"4","5","5","ac03a56d-aeb6-4e2f-95e9-e13d1ca2f8f3"
"15","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","5","Nothing all good","5","5","1","4911ae30-f161-4116-96d7-7acacefcb4d7"
"16","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","Everything is okay","5","5","5","274b300a-37cf-4e50-a3f6-51f49694e84e"
"17","API dan IAS","CGK T2","1","BAGGAGE CLAIM T2F","API-BAGGAGE CLAIM-CGK T2-HCO F","5","All good","5","5","5","aab7eb5f-9e18-46d6-952b-213fab5c17a7"
"18","API dan IAS","SUB","4","T2,INTERNASIONAL","SUB-BAGGA-T2-INTERNASIONAL","3","Barang keluar terlalu lama. Bisa mencapai 30mnt baru first bag on belt","4","3","3","96434fad-4c98-4f34-af67-6a99a55c1ed6"
"19","API dan IAS","DPS","2","BAGGAGE CLAIM DOMESTIK/ BELT 4","DPS-BC.DOM-4","3","Area Baggage Claim berbau tidak sedap, seperti bau WC kotor","4","4","3","2d6f58d3-3dc2-4837-a170-e1e382809f4b"
"20","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","1","jk","1","1","1","e0074da3-0154-434d-8c5d-53d3a629ffe3"
"21","API dan IAS","SUB","4","T2,INTERNASIONAL","SUB-BAGGA-T2-INTERNASIONAL","1","Sangat lama","3","4","2","69edc0a2-29a4-4669-b2a0-bf4aca3bf4fa"
"22","API dan IAS","SUB","4","T2,INTERNASIONAL","SUB-BAGGA-T2-INTERNASIONAL","2","Mengeluarkan bagasi terlalu lama","3","3","3","6a4b6a97-5fe5-4514-8979-a1b143cb8543"
"23","API dan IAS","DPS","2","BAGGAGE CLAIM INTERNASIONAL/ BELT 6","DPS-BC.INT.6","1","Sangat lama 2 jam koper belum datang juga, paraaaaaaaah!!! Busuuuuk","1","1","1","9a405b5f-7e29-4e1e-987e-2412b4704a8b"
"24","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","5","Mantap","5","5","5","6901f6b8-ed6a-4f1b-93e7-5949ecf728fd"
"25","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 INT","BCB.T3.INT","4","tidak ada saran","5","5","5","40c1c784-d8dc-4f8b-89cf-d3b8d3eef896"
"26","API dan IAS","CGK T3","1","BAGGAGE CLAIM T3 DOM","BCB.T3.DOM","5","Pelayanannya ramah","5","3","4","525c00c2-ea36-439c-9b51-de42b2da8c4e"
