sequence,bu,subholding,nama_lokasi,lokasi_detail,tipe_fasilitas,id_fasilitas,survey_date,respondent_id,survey_status,channel_type,response_time_sec,survey_mode,csat_label,csat_score,csat_group,nps_score,verbatim,verbatim_sentiment,source_file
1,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,2025-11-29,1d07d3f9-4734-47fb-8dc8-8daac1c18373,Completed,,1958616,New,Satisfied,4,Satisfied,,"Dibandingkan dengan negara lain atau bahkan kota lain, baggage claim CGK masih terpaut lebih lama walaupun sudah ada perbaikan.",Negative,Baggage Claim API.csv
2,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-28,8acf8650-e37d-444a-959b-4d950dd0464d,Completed,,94508,New,Satisfied,5,Satisfied,,It is good,Positive,Baggage Claim API.csv
3,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-28,9f1f8818-f8da-4297-a385-1156525e49c1,Completed,,502580,New,Satisfied,5,Satisfied,,لا,Neutral,Baggage Claim API.csv
4,API,API dan IAS,YIA,4,BAGGAGE CLAIM AREA INTERNASIONAL,YIA-BCA-INT,2025-11-27,23414437-10c2-491d-86a3-5a6d7ed6feb4,Completed,,345770,New,Satisfied,5,Satisfied,,Mohon dapat dipertahankan kualitas saat ini yg sdh baik,Positive,Baggage Claim API.csv
5,API,API dan IAS,DPS,2,BAGGAGE CLAIM INTERNASIONAL/ BELT 2,DPS-BC.INT-2,2025-11-27,3b103865-d31b-423c-bc8b-91d161767bef,Completed,,79018,New,Satisfied,5,Satisfied,,,,Baggage Claim API.csv
6,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-26,39be473e-a844-4fb9-adc6-a034180cc45f,Completed,,171976,New,Satisfied,5,Satisfied,,Bagus,Positive,Baggage Claim API.csv
7,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2025-11-25,26edf956-b795-45d5-8436-1d11c10a841c,Completed,,82240,New,Satisfied,5,Satisfied,,Ga ada,Neutral,Baggage Claim API.csv
8,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2E,API-BAGGAGE CLAIM-CGK T2-HCO E,2025-11-23,258846af-6728-42b4-8063-6c76556a3567,Completed,,55699,New,Satisfied,4,Satisfied,,,,Baggage Claim API.csv
9,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-23,c52aa80c-4ccf-460e-beec-984dd8a89680,Completed,,156435,New,Satisfied,4,Satisfied,,Good,Positive,Baggage Claim API.csv
10,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-21,3ad531ff-a082-4966-b36c-cafe1a8efe7f,Completed,,75424,New,Satisfied,4,Satisfied,,K,Neutral,Baggage Claim API.csv
11,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-19,177caf05-22c1-426f-bc98-171e9e091e03,Completed,,87485,New,Satisfied,4,Satisfied,,,,Baggage Claim API.csv
12,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2025-11-18,ef3213a4-79a4-427e-bfc1-7d7cccaa5123,Completed,,70813,New,Neutral,3,Neutral,,Hshsbbs,Neutral,Baggage Claim API.csv
13,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2025-11-17,ac03a56d-aeb6-4e2f-95e9-e13d1ca2f8f3,Completed,,87093,New,Satisfied,4,Satisfied,,,,Baggage Claim API.csv
14,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2025-11-17,4911ae30-f161-4116-96d7-7acacefcb4d7,Completed,,59407,New,Satisfied,5,Satisfied,,Nothing all good,Positive,Baggage Claim API.csv
15,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-17,274b300a-37cf-4e50-a3f6-51f49694e84e,Completed,,182066,New,Satisfied,4,Satisfied,,Everything is okay,Positive,Baggage Claim API.csv
16,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2025-11-15,aab7eb5f-9e18-46d6-952b-213fab5c17a7,Completed,,211887,New,Satisfied,5,Satisfied,,All good,Positive,Baggage Claim API.csv
17,API,API dan IAS,SUB,4,"T2,INTERNASIONAL",SUB-BAGGA-T2-INTERNASIONAL,2025-11-15,96434fad-4c98-4f34-af67-6a99a55c1ed6,Completed,,119153,New,Neutral,3,Neutral,,Barang keluar terlalu lama. Bisa mencapai 30mnt baru first bag on belt,Negative,Baggage Claim API.csv
18,API,API dan IAS,DPS,2,BAGGAGE CLAIM DOMESTIK/ BELT 4,DPS-BC.DOM-4,2025-11-14,2d6f58d3-3dc2-4837-a170-e1e382809f4b,Completed,,104594,New,Neutral,3,Neutral,,"Area Baggage Claim berbau tidak sedap, seperti bau WC kotor",Negative,Baggage Claim API.csv
19,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-13,e0074da3-0154-434d-8c5d-53d3a629ffe3,Completed,,158639,New,Not Satisfied,1,Dissatisfied,,jk,Neutral,Baggage Claim API.csv
20,API,API dan IAS,SUB,4,"T2,INTERNASIONAL",SUB-BAGGA-T2-INTERNASIONAL,2025-11-11,69edc0a2-29a4-4669-b2a0-bf4aca3bf4fa,Completed,,82750,New,Not Satisfied,1,Dissatisfied,,Sangat lama,Negative,Baggage Claim API.csv
21,API,API dan IAS,SUB,4,"T2,INTERNASIONAL",SUB-BAGGA-T2-INTERNASIONAL,2025-11-11,6a4b6a97-5fe5-4514-8979-a1b143cb8543,Completed,,85403,New,Not Satisfied,2,Dissatisfied,,Mengeluarkan bagasi terlalu lama,Negative,Baggage Claim API.csv
22,API,API dan IAS,DPS,2,BAGGAGE CLAIM INTERNASIONAL/ BELT 6,DPS-BC.INT.6,2025-11-11,9a405b5f-7e29-4e1e-987e-2412b4704a8b,Completed,,111849,New,Not Satisfied,1,Dissatisfied,,"Sangat lama 2 jam koper belum datang juga, paraaaaaaaah!!! Busuuuuk",Negative,Baggage Claim API.csv
23,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-11,6901f6b8-ed6a-4f1b-93e7-5949ecf728fd,Completed,,135126,New,Satisfied,5,Satisfied,,Mantap,Positive,Baggage Claim API.csv
24,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-11,40c1c784-d8dc-4f8b-89cf-d3b8d3eef896,Completed,,108427,New,Satisfied,4,Satisfied,,tidak ada saran,Neutral,Baggage Claim API.csv
25,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,2025-11-10,525c00c2-ea36-439c-9b51-de42b2da8c4e,Completed,,124324,New,Satisfied,5,Satisfied,,Pelayanannya ramah,Positive,Baggage Claim API.csv
26,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-08,1e795bb6-6c9f-47e9-9ee2-846eaf01c264,Completed,,91624,New,Satisfied,5,Satisfied,,Good,Positive,Baggage Claim API.csv
27,API,API dan IAS,DPS,2,BAGGAGE CLAIM INTERNASIONAL/ BELT 3,DPS-BC.INT-3,2025-11-07,257c516d-649e-465a-8ee9-b0a05ad3c51c,Completed,,244057,New,Satisfied,5,Satisfied,,,,Baggage Claim API.csv
28,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-06,a32578a1-b47b-4496-b7de-b0a97b2c1386,Completed,,119210,New,Satisfied,5,Satisfied,,no others,Neutral,Baggage Claim API.csv
29,API,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,2025-11-04,95a02957-a615-4ff6-8f1f-175424d3986c,Completed,,663861,New,Not Satisfied,2,Dissatisfied,,"VJ 855 asal Ho Chi Minh
Landed CGK : 12.50
Keluar dari imigrasi T2 : 13.20
Bagasi baru keluar jam : 13.45

Nunggu bagasinya lamaa. Banyak passenger lain baik WNI maupun WNA juga mengeluhkan hal yang sama.",Negative,Baggage Claim API.csv
30,API,API dan IAS,SUB,4,"T1,GA,QG,IP GROUP","SUB-BAGGA-T1-GA,QG,IP GROUP",2025-11-03,af2e2ed1-7d7e-41dc-af9d-a2ab98a12649,Completed,,253526,New,Not Satisfied,1,Dissatisfied,,"Belt nya pendek sekali jadi kek semut ngerubung kue , penunjuk arahnya kurang jelas membingungkan",Negative,Baggage Claim API.csv
31,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-02,b0425a84-3909-4802-b4a1-be90bbfe138f,Completed,,132019,New,Satisfied,5,Satisfied,,,,Baggage Claim API.csv
32,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-02,5ae8862a-d7fc-4f2e-b6c1-6ef4c57c01c0,Completed,,55716,New,Satisfied,5,Satisfied,,-,Neutral,Baggage Claim API.csv
33,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,56c51e4c-222c-4173-bf8e-35c077dfa7cf,Completed,,47396,New,Satisfied,5,Satisfied,,Bagus,Positive,Baggage Claim API.csv
34,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,19832a97-1dc0-47be-ad98-9c24a49270d6,Completed,,38587,New,Satisfied,5,Satisfied,,Bagus,Positive,Baggage Claim API.csv
35,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,8e8da1ab-ad15-45ed-9e16-cad7535b0177,Completed,,152843,New,Satisfied,5,Satisfied,,bagus dan nyaman,Positive,Baggage Claim API.csv
36,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,3348915a-7c04-4acb-9fbb-eb76a79ec38a,Completed,,50015,New,Satisfied,5,Satisfied,,Bagus,Positive,Baggage Claim API.csv
37,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,86d6abaf-5f76-4640-a22a-0be289185c29,Completed,,213665,New,Satisfied,5,Satisfied,,bagus,Positive,Baggage Claim API.csv
38,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,c44720d5-7d1d-4c2f-b539-0a34f22d4ee2,Completed,,287270,New,Satisfied,5,Satisfied,,Bagus,Positive,Baggage Claim API.csv
39,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,1351ac03-65da-4189-bd97-0180a75c754c,Completed,,40323,New,Satisfied,5,Satisfied,,good,Positive,Baggage Claim API.csv
40,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-11-01,f011984f-fc6a-4c51-9e0c-35212f277196,Completed,,114018,New,Satisfied,4,Satisfied,,Good,Positive,Baggage Claim API.csv
41,API,API dan IAS,SUB,4,"T1,GA,QG,IP GROUP","SUB-BAGGA-T1-GA,QG,IP GROUP",2025-10-31,4f5cd65b-0084-43e3-ad4e-f62a6a122d48,Completed,,129385,New,Not Satisfied,1,Dissatisfied,,"Saat arrival tidak tersedia trolly, sangat menyusahkan",Negative,Baggage Claim API.csv
42,API,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,2025-10-30,1a2f1bfb-3ac0-4135-ac1c-0cf7a4b04013,Completed,,170140,New,Satisfied,5,Satisfied,,Biasa aja,Neutral,Baggage Claim API.csv
