sequence,bu,subholding,nama_lokasi,lokasi_detail,tipe_fasilitas,id_fasilitas,survey_date,respondent_id,survey_status,channel_type,response_time_sec,survey_mode,csat_label,csat_score,csat_group,nps_score,verbatim,verbatim_sentiment,source_file
1,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2025-11-21,7f923bdf-5abc-4f5f-b924-1e7104bbc474,Completed,,169620,New,Satisfied,5,Satisfied,,Inform hotel guests (on the program board) that reservation for these activities is needed (normally),,Atraksi ITDC.csv
2,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2025-11-14,1fcc63d3-4327-48fb-9d0f-cae46c7769d3,Completed,,701932,New,Satisfied,5,Satisfied,,more attractions from the show,,Atraksi ITDC.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2026-05-04,4d4e46aa-d2a8-4336-b7d1-8d2cb0505662,Completed,,28149,New,Satisfied,4,Satisfied,,sudah bagus,,Atraksi ITDC_04-05-2026_170056.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2025-12-16,ab5ab65f-4810-46e0-87bf-87fda2e7b936,Completed,,3213733,New,Satisfied,4,Satisfied,,Bagus,,Atraksi ITDC_16-12-2025_170130.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2026-04-17,d6593e3d-e84c-47ed-bbbf-3055f8876e0a,Completed,,226872,New,Satisfied,5,Satisfied,,sangat bagusss,,Atraksi ITDC_17-04-2026_170055.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2026-06-19,61fccb22-49ef-4451-bced-8a8196fb5050,Completed,,455420,New,Satisfied,5,Satisfied,,"Was a fantastic performance, we enjoyed it very much!",,Atraksi ITDC_19-06-2026_170104.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Atraksi Kecak,ITDC-ATRAKSI-NUSA DUA-01,2026-04-24,e1850f0a-75ef-4ca7-b574-40605c43947f,Completed,,66856,New,Satisfied,4,Satisfied,,Sudah baik,,Atraksi ITDC_24-04-2026_170052.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Fasilitas Waterblow,ITDC-FASILITAS-NUSA DUA-WATERBLOW,2025-11-15,62b71a12-50f0-47f7-aeee-8edf303f31e3,Completed,,101621,New,Not Satisfied,1,Dissatisfied,,Couldn’t get in bc only takes cash,,Fasilitas ITDC.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Fasilitas Waterblow,ITDC-FASILITAS-NUSA DUA-WATERBLOW,2026-01-07,b94c15b5-e778-4907-8084-5b6bc2f34c40,Completed,,76370,New,Not Satisfied,1,Dissatisfied,,You should have card facilities,,Fasilitas ITDC_07-01-2026_170131.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Fasilitas Waterblow,ITDC-FASILITAS-NUSA DUA-WATERBLOW,2026-02-13,9f3c20ca-df09-4afc-b901-5372085ce78e,Completed,,64506,New,Satisfied,5,Satisfied,,-,,Fasilitas ITDC_13-02-2026_170133.csv
2,ITDC,ITDC,NUSA DUA,KAWASAN,Fasilitas Waterblow,ITDC-FASILITAS-NUSA DUA-WATERBLOW,2026-02-13,b3e4b537-84a8-499c-8607-bfed944b352f,Completed,,120956,New,Not Satisfied,1,Dissatisfied,,Ned information telling people what they are going in to look at. Waist of money,,Fasilitas ITDC_13-02-2026_170133.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Fasilitas Waterblow,ITDC-FASILITAS-NUSA DUA-WATERBLOW,2026-03-16,e946f8e3-2c1f-416e-9277-7bd068c694de,Completed,,50173,New,Satisfied,5,Satisfied,,,,Fasilitas ITDC_16-03-2026_170052.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,Fasilitas Waterblow,ITDC-FASILITAS-NUSA DUA-WATERBLOW,2026-03-26,766e2250-cccc-476d-bfed-7d333436a697,Completed,,1194430,New,Satisfied,4,Satisfied,,,,Fasilitas ITDC_26-03-2026_170100.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2025-10-21,009cd540-f3d1-4f13-9c9f-51e7512029b4,Completed,,88597,,Satisfied,5,Satisfied,,All good facilitis,,Shuttle ITDC.csv
2,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2025-10-21,9c17da86-719a-4874-ba12-65656eb69291,Completed,,231417,,Satisfied,4,Satisfied,,"Kebersihan lebih d optimalkan
Jadwal kunjungan k tenan harus ada",,Shuttle ITDC.csv
3,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2025-10-22,d4b15860-05e8-40d1-9b18-fa3abec663e1,Completed,,75515,,Satisfied,5,Satisfied,,,,Shuttle ITDC.csv
4,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2025-10-24,2f5bc8e5-752b-41e8-bf42-fad0b5758c00,Completed,,74143,,Satisfied,5,Satisfied,,Memuaskan,,Shuttle ITDC.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2026-06-05,d30a71a2-3195-497a-bd8f-109bb17ce467,Completed,,57106,New,Satisfied,5,Satisfied,,,,Shuttle ITDC_05-06-2026_170047.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2025-12-18,6508d3f5-97a7-4f67-a29f-6beaa2299bc6,Completed,,112245,New,Satisfied,5,Satisfied,,Semoga lebih banyak shuttle yang tersedia,,Shuttle ITDC_18-12-2025_170127.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2025-12-23,8cf1ab56-0d44-49ca-91ad-64163412d2cb,Completed,,35032,New,Satisfied,5,Satisfied,,Bagus,,Shuttle ITDC_23-12-2025_170128.csv
1,ITDC,ITDC,NUSA DUA,KAWASAN,SHUTTLE,ITDC-SHUTTLE-NUSA DUA-01,2026-06-29,d349fa88-56e0-4633-8cae-2cd991812c51,Completed,,66958,New,Satisfied,5,Satisfied,,,,Shuttle ITDC_29-06-2026_170053.csv
1,ITDC,,,,,,2025-12-05,a6886041-37fe-4579-ba00-645af9b6b2e4,Completed,,18207,New,Satisfied,5,Satisfied,,test,,Toilet ITDC.csv
