sequence,bu,subholding,nama_lokasi,lokasi_detail,tipe_fasilitas,id_fasilitas,survey_date,respondent_id,survey_status,channel_type,response_time_sec,survey_mode,csat_label,csat_score,csat_group,nps_score,verbatim,verbatim_sentiment,source_file
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 3F,SARINAH-THAMRIN-CASHIER 3-01,2026-06-03,6df1e2d9-d721-4228-8a05-a62768f3f56c,Completed,,16982,New,Satisfied,5,Satisfied,,Testing,Neutral,Cashier Sarinah_04-06-2026_015116.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 1F,SARINAH-THAMRIN-CASHIER 1-01,2026-06-08,ffbe48d9-d4a7-44d0-aec5-fed3ee78af8a,Completed,,157994,New,Satisfied,4,Satisfied,,,,Cashier Sarinah_09-06-2026_015115.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 1F,SARINAH-THAMRIN-CASHIER 1-01,2026-06-08,021a3b42-7595-4588-ba74-5a34799f6d6e,Completed,,23764,New,Satisfied,4,Satisfied,,N/A,Neutral,Cashier Sarinah_09-06-2026_015115.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 4F,SARINAH-THAMRIN-CASHIER 4-01,2026-04-09,0b4f92d8-9464-4dc6-8205-251c23649789,Completed,,37414,New,Neutral,3,Neutral,,Ramah,Neutral,Cashier Sarinah_10-04-2026_015113.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 1F,SARINAH-THAMRIN-CASHIER 1-01,2025-12-05,1a31507e-e999-4294-a9a2-0d15cd1252bd,Completed,,156199,New,Neutral,3,Neutral,,"infokan promo/ daftar member saat pelanggan sedang antri sebelum payment, bukan saat payment. sehingga tidak membuang waktu dan harus skip antrian payment",Neutral,Cashier Sarinah_15-01-2026_170130.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 1F,SARINAH-THAMRIN-CASHIER 1-01,2025-11-06,4d2742b3-47ec-46ee-a0b1-acf3cc13d802,Completed,,69874,New,Satisfied,4,Satisfied,,Ramah,Positive,Cashier Sarinah_15-01-2026_170130.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 2F,SARINAH-THAMRIN-CASHIER 2-01,2026-03-15,13e0447d-d1b3-4626-aec4-0e063f3706ff,Completed,,99522,New,Not Satisfied,1,Dissatisfied,,kasirnya sangat ramah,Positive,Cashier Sarinah_16-03-2026_015116.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 1F,SARINAH-THAMRIN-CASHIER 1-01,2026-06-18,4967e94d-20ba-4c60-9a59-ce3a3c2b856f,Completed,,19599,New,Satisfied,5,Satisfied,,Tempat nya sangat nyaman,Positive,Cashier Sarinah_19-06-2026_015114.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 1F,SARINAH-THAMRIN-CASHIER 1-01,2026-06-18,93547da1-93a5-4575-b333-5476bb1d50fa,Completed,,24461,New,Satisfied,5,Satisfied,,Tempat nya sangat nyaman,Positive,Cashier Sarinah_19-06-2026_015114.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,CASHIER 4F,SARINAH-THAMRIN-CASHIER 4-01,2026-02-23,787204d6-5d24-4a74-a7b1-dc95a2990999,Completed,,26966,New,Satisfied,5,Satisfied,,,,Cashier Sarinah_23-02-2026_170132.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION OFFICE - MALL-01,2026-04-11,d0b6df5b-89e8-41da-89e3-79b647f57bc1,Completed,,63134,New,Satisfied,5,Satisfied,,Sudah bagus,Positive,Information Sarinah_12-04-2026_020130.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2026-01-09,84ab66d4-7592-4fdf-bb0f-ec68ab9c661b,Completed,,119432,New,Satisfied,4,Satisfied,,Mantulll,Positive,Information Sarinah_15-01-2026_170129.csv
2,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2026-01-04,3e7af562-df15-4512-8ce2-6071132a8ee6,Completed,,181781,New,Satisfied,5,Satisfied,,Saya ketinggalan sekotak kue di toilet . 1 jam saya balik. Kue Ada di ruang cleaning service dan Sudah makan habis sisa 1 aja. Sangat mengecewakan,Negative,Information Sarinah_15-01-2026_170129.csv
3,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2026-01-01,5bfcea9c-d595-4e95-b3fd-c18b3ca2cf4e,Completed,,1107884,New,Satisfied,5,Satisfied,,"Perkenalkan nama saya Shirley
Saya tour guide yg mengantar tamu belanja pd tgl 28 Dec '25.
Saya coba ctc CS Nanda tdk direspond bbrp kali telp by wa (setelah tamu transaksi baru direspond dia lg sakit) ... on the spot di belakang counter goldmart ada CS Irwan tp tdk helpful dgn berbagai alasan. Tamu saya beli gelang emas seharga 21 jt tp sbg guide saya dicuekin dgn berbagai alasan procedure, barcode dll.
Mohon perhatian utk kerjasama yg berkelanjutan, kami jgn dipersulit & support kami utk Sarinah diapresiasi bukan dgn prosedur ngejelimet spt ini.
Dari Goldmart seharusnya saya dptkan kom 5% ... Skrg bisa diselesaikan spt apa kasus saya ini, atau biar kami semua guide sepakat GAK bawa tamu ke Sarinah lg. Mohon perhatiannya !!!",Negative,Information Sarinah_15-01-2026_170129.csv
4,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-12-30,0a8dfe9b-5ecf-44b9-b4c2-35a8801ed8a7,Completed,,31663,New,Satisfied,5,Satisfied,,Lebih baik lagi,Positive,Information Sarinah_15-01-2026_170129.csv
5,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-12-17,02a6da95-ff1c-4482-a350-0dd6368e007e,Completed,,65571,New,Satisfied,5,Satisfied,,Sangat bagus,Positive,Information Sarinah_15-01-2026_170129.csv
6,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-12-07,97f62c3c-d2e7-4503-8196-f0f994ec4334,Completed,,40741,New,Satisfied,5,Satisfied,,Pelayanan informastion centernya baik dan ramah,Positive,Information Sarinah_15-01-2026_170129.csv
7,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-12-07,7390b763-bdd7-4660-9806-15332c702671,Completed,,156792,New,Satisfied,5,Satisfied,,"Minggu ini saya sama keluarga jalan ke sarinah jam 6  sore sampe malam, seru banyak acara, sering adakan acara hehe.

 Mas mas customer service juga baik kasih informasi detail.  Terimakasih sarinah",Positive,Information Sarinah_15-01-2026_170129.csv
8,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-12-07,92f3dd99-68a2-4d40-b6c5-007f7f429de2,Completed,,78379,New,Satisfied,5,Satisfied,,Terimakasih untuk barang yg tertinggal kembali dengan utuh. Sukses selalu.,Positive,Information Sarinah_15-01-2026_170129.csv
9,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-12-01,58b1f974-2004-42c1-ad00-cfd58bc8e819,Completed,,215078,New,Satisfied,5,Satisfied,,"ini pertama kali saya bawa keluarga saya ke sarinah ,saya dari banten , dan keluarga saya tidak tau sarinah apa. saya sanggat berterima kasih kepada petugas sarinah resepsioniosnya untuk bapak dika, karna telah menjelaskan dengan sangan baik mengenai sarinah kepada keluarga saya, sehingga kami tidak kebingungan . sehat selalu pak dika dan jaya selalu sarinah.",Positive,Information Sarinah_15-01-2026_170129.csv
10,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-11-27,0f637c50-e4a9-4ee0-804d-70531e7351a4,Completed,,97512,New,Satisfied,5,Satisfied,,"Saya makasih krn papa saya habis kuota dan bingung cari saya,tapi petugas information center mas dika bantu pinjam kan internet dan arahkan kepada saya.makasih",Positive,Information Sarinah_15-01-2026_170129.csv
11,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION DEPTSTORE,SARINAH-THAMRIN-INFORMATION AREA - STORE-01,2025-11-26,197f6fc5-72c3-46a3-8cd7-3652fdca5c2c,Completed,,70037,New,Satisfied,5,Satisfied,,,,Information Sarinah_15-01-2026_170129.csv
12,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-11-25,bba9f414-f00c-42cc-a849-d7bda01cf41b,Completed,,37942,New,Satisfied,5,Satisfied,,,,Information Sarinah_15-01-2026_170129.csv
13,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-11-25,f0f2213e-6ae4-4c73-a1ce-930b1c15a28f,Completed,,119458,New,Satisfied,5,Satisfied,,Informasi nya sangat memuaskan terimakasih kk,Positive,Information Sarinah_15-01-2026_170129.csv
14,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2025-11-18,cda83901-4840-47c1-be0b-0feee8582f71,Completed,,23196,New,Satisfied,4,Satisfied,,Baik,Neutral,Information Sarinah_15-01-2026_170129.csv
15,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION DEPTSTORE,SARINAH-THAMRIN-INFORMATION AREA - STORE-01,2025-11-06,c66e044d-339f-42b3-8774-d4148831ba5e,Completed,,149044,New,Satisfied,4,Satisfied,,Pertahankan keramahan staffnya,Positive,Information Sarinah_15-01-2026_170129.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2026-02-17,a4ec186a-12f0-478f-9885-2ca9a26390c6,Completed,,136930,New,Satisfied,5,Satisfied,,Dika went above and beyond the call of duty to help me get my phone charged :),Positive,Information Sarinah_17-02-2026_170133.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2026-03-24,f1914cce-724c-40c0-9974-f71e93afddd9,Completed,,73407,New,Satisfied,5,Satisfied,,,,Information Sarinah_25-03-2026_020130.csv
1,Sarinah,SARINAH,THAMRIN,JAKARTA,INFORMATION,SARINAH-THAMRIN-INFORMATION AREA - MALL-01,2026-01-27,76de1101-0285-470c-925c-8868a23564e2,Completed,,506339,New,Satisfied,5,Satisfied,,"Saya mau kompain soal tenant domba muda khas tegal , jadi beberapa hari lalu saya makan pesan sup dan nasi dengan harga 70ribuan ,lalu hari ini tanggal 27 januari saya pesan sup juga tetapi harga berbeda dengan harga 86000, dan pelayan nya tidak mengakui kalau harga berbeda, jelas jelas saya makan mengunakan kartu kredit  ada mutasinya. Kalo gini terus nnti pada ga nyaman. Mohon bantuannya.  Dan saya terimakasih kepada mas dika sudah mendengarkan keluh kesa ya .

David
0818558280",Negative,Information Sarinah_27-01-2026_170130.csv
