respondent_id,synced_at,bu,survey_type,subholding,location,region,facility_type,facility_id,overall_score,overall_group,people_score,process_score,premises_score,nps_score,feedback,tags,sentiment,channel,language
1d07d3f9-4734-47fb-8dc8-8daac1c18373,2025-11-29 18:36:48,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 DOM,BCB.T3.DOM,4,Satisfied,4,3,3,,"Dibandingkan dengan negara lain atau bahkan kota lain, baggage claim CGK masih terpaut lebih lama walaupun sudah ada perbaikan.",Baggage Claim Wait Time and Delays,Negative,,Bahasa
8acf8650-e37d-444a-959b-4d950dd0464d,2025-11-28 16:29:17,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,It is good,Overall Satisfaction and Service Quality,Positive,,English
9f1f8818-f8da-4297-a385-1156525e49c1,2025-11-28 00:39:56,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,2,2,2,,لا,Overall Satisfaction and Service Quality,Neutral,,English
23414437-10c2-491d-86a3-5a6d7ed6feb4,2025-11-27 09:32:53,API,Baggage Claim,API dan IAS,YIA,4,BAGGAGE CLAIM AREA INTERNASIONAL,YIA-BCA-INT,5,Satisfied,5,5,5,,Mohon dapat dipertahankan kualitas saat ini yg sdh baik,Overall Satisfaction and Service Quality,Positive,,Bahasa
3b103865-d31b-423c-bc8b-91d161767bef,2025-11-27 08:26:31,API,Baggage Claim,API dan IAS,DPS,2,BAGGAGE CLAIM INTERNASIONAL/ BELT 2,DPS-BC.INT-2,5,Satisfied,5,5,5,,,,,,English
39be473e-a844-4fb9-adc6-a034180cc45f,2025-11-26 21:43:39,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,5,Satisfied,5,5,5,,Bagus,Overall Satisfaction and Service Quality,Positive,,Bahasa
26edf956-b795-45d5-8436-1d11c10a841c,2025-11-25 06:11:51,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,5,Satisfied,5,5,5,,Ga ada,Overall Satisfaction and Service Quality,Neutral,,English
258846af-6728-42b4-8063-6c76556a3567,2025-11-23 13:11:59,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2E,API-BAGGAGE CLAIM-CGK T2-HCO E,4,Satisfied,5,4,4,,,,,,Bahasa
c52aa80c-4ccf-460e-beec-984dd8a89680,2025-11-23 00:11:06,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,4,4,4,,Good,Overall Satisfaction and Service Quality,Positive,,English
3ad531ff-a082-4966-b36c-cafe1a8efe7f,2025-11-21 19:44:21,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,3,3,3,,K,Overall Satisfaction and Service Quality,Neutral,,Bahasa
177caf05-22c1-426f-bc98-171e9e091e03,2025-11-19 08:22:44,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,4,4,4,,,,,,English
ef3213a4-79a4-427e-bfc1-7d7cccaa5123,2025-11-18 02:50:30,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,3,Neutral,4,4,4,,Hshsbbs,Overall Satisfaction and Service Quality,Neutral,,English
ac03a56d-aeb6-4e2f-95e9-e13d1ca2f8f3,2025-11-17 15:36:15,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,4,Satisfied,4,5,5,,,,,,Bahasa
4911ae30-f161-4116-96d7-7acacefcb4d7,2025-11-17 15:18:24,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,5,Satisfied,5,1,5,,Nothing all good,Overall Satisfaction and Service Quality,Positive,,English
274b300a-37cf-4e50-a3f6-51f49694e84e,2025-11-17 14:21:56,API,Baggage Claim,API dan IAS,CGK T3,1,BAGGAGE CLAIM T3 INT,BCB.T3.INT,4,Satisfied,5,5,5,,Everything is okay,Overall Satisfaction and Service Quality,Positive,,English
aab7eb5f-9e18-46d6-952b-213fab5c17a7,2025-11-15 15:52:23,API,Baggage Claim,API dan IAS,CGK T2,1,BAGGAGE CLAIM T2F,API-BAGGAGE CLAIM-CGK T2-HCO F,5,Satisfied,5,5,5,,All good,Overall Satisfaction and Service Quality,Positive,,English
96434fad-4c98-4f34-af67-6a99a55c1ed6,2025-11-15 08:55:51,API,Baggage Claim,API dan IAS,SUB,4,"T2,INTERNASIONAL",SUB-BAGGA-T2-INTERNASIONAL,3,Neutral,4,3,3,,Barang keluar terlalu lama. Bisa mencapai 30mnt baru first bag on belt,Baggage Claim Wait Time and Delays,Negative,,Bahasa
