MEMBER,PARAMETERS,Unit,Target,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,MEI 2026,JUNI 2026
API,CSAT -  Overall ,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4,31","4,28","4,52","4,72",4.49,4.36,4.42,4.54,4.52,4.48
API,CSAT - People,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4,51","4,50","4,66","4,78",4.65,4.58,4.63,4.75,4.68,"4,71"
API,CSAT - Process,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4,67","4,32","4,58","4,72",4.54,4.49,4.5,4.67,4.58,"4,61"
API,CSAT - Premises,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4,30","4,34","4,60","4,73",4.57,4.43,4.55,4.71,4.62,"4,62"
API,Customer Satisfaction (ACI),Scale 1-5,4.77,4.97,4.97,4.97,4.98,4.98,4.98,4.99,4.99,4.99,5,5,5,5,5,5,NULL,NULL,NULL
API,Customer Satisfaction (INACA),Scale 1-5,4.72,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,"4,79","4,80","4,81","4,82","4,83","4,84"
API,Service Performance - Overall,Percentage (%),90,95.52,91.24,96.67,98.97,99.49,99.57,98.91,99.63,94.81,99.7,95.41,99.39,98.92,98.81,98.89,99.73,97.91,98.48
API,Service Performance - People,Percentage (%),90,99.71,99.66,99.76,99.83,99.39,99.59,99.73,99.95,99.88,99.94,99.7,99.17,99.45,99.12,99.51,99.59,99.67,99.39
API,Service Performance - Process,Percentage (%),90,87.5,75,91.25,97.5,100,100,97.5,100,85,100,87.5,100,97.5,97.5,97.5,100,95,96.25
API,Service Performance - Premises,Percentage (%),90,99.36,99.06,99.01,99.59,99.09,99.13,99.49,98.94,99.56,99.15,99.02,99,99.8,99.81,99.65,99.61,99.06,99.8
API,Call Center Performance - Volume of Call,Numbers,NULL,2946,2233,2204,1996,1348,1002,1649,1741,1909,2008,2052,2439,2782,2028,2497,1701,1571,1664
API,Call Center Performance - First Call Resolution,Percentage (%),70,89,87.81,88.74,81.32,74.1,76.91,71.06,71.28,71.81,71.93,69.33,69.99,72.59,73.28,74.17,NULL,NULL,NULL
API,Call Center Performance - Service Level,Percentage (%),90,98.67,97.58,98.05,98.6,99.55,99.74,99.58,99.31,99.06,99.15,98.98,99.26,97.51,98.46,98.44,99,98.59,97.29
API,Call Center Performance - Call Waiting Time,Avg. Time Duration,0:00:30,0:00:14,0:00:14,0:00:14,0:00:14,0:00:14,0:00:14,0:00:14,0:00:14,0:00:14,0:00:15,0:00:14,0:00:15,0:00:14,0:00:14,0:00:14,0:00:15,0:00:17,0:00:19
API,Call Center Performance - Abandoned Call Rate,Percentage (%),5,2.34,2.42,1.95,1.4,0.45,0.4,0.42,0.69,0.94,0.85,1.02,0.74,2.16,1.38,1,1,1.41,2.71
API,Social Media Performance - Volume of Interaction,Numbers,NULL,6763,8665,11639,8707,8477,7617,8417,5436,6728,7558,9326,5476,9364,8710,9300,6944,5108,5535
